Distrito ;2020
Tierra altas;20
Barú;17,467
Alanje;58,608
Boquerón ;16,281
Boquete;23,405
Bugaba ;83,960
David;174,083
Dolega;26,882
Gualaca;10,433
Remedios;4,337
Renacimiento ;21,499
San Felix;6,826
San Lorenzo;8,045
Tolé;12,712
